item,direccion,tecnologia,tipo,marca,latitud,longitud,administrador
36,"Jr. Castilla con Jr. Ayacucho, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07044,-77.11395,MUNICIPALIDAD DISTRITAL DE LA PERLA
37,"Jr.Corales con Aux La Marina, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06774,-77.11483,MUNICIPALIDAD DISTRITAL DE LA PERLA
38,"Parque Tropical, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07125,-77.11471,MUNICIPALIDAD DISTRITAL DE LA PERLA
39,"Jr. 2 de Mayo, Jr. Camana, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06965,-77.11769,MUNICIPALIDAD DISTRITAL DE LA PERLA
40,"Calle Mama Ocllo con Calle Tupac Amaru, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07162,-77.11775,MUNICIPALIDAD DISTRITAL DE LA PERLA
41,"Jr. Tarata, Jr. Huascar, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07129,-77.12425,MUNICIPALIDAD DISTRITAL DE LA PERLA
42,"Auxiliar La Marina , Av. Insurgentes , La Perla",Cámara IP,Domo PTZ,DAHUA,-12.0722,-77.10533,MUNICIPALIDAD DISTRITAL DE LA PERLA
43,"Parque La Macarena, Calle Zaragoza, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07357,-77.10899,MUNICIPALIDAD DISTRITAL DE LA PERLA
44,"Parque Grau Av Haya de la Torre, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.0723,-77.11133,MUNICIPALIDAD DISTRITAL DE LA PERLA
45,"Parque 20 de Agosto Jr. Ayacucho, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07256,-77.11545,MUNICIPALIDAD DISTRITAL DE LA PERLA
46,"Parque Luis Lituma 145, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07418,-77.11719,MUNICIPALIDAD DISTRITAL DE LA PERLA
47,"Parque Antonio Raimondi, Pasaje Humanchuco con Pasaje Sinchi Roca, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07354,-77.11416,MUNICIPALIDAD DISTRITAL DE LA PERLA
48,"Parque del Niño Jesus, Pasaje Socrates 169, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.0663,-77.11613,MUNICIPALIDAD DISTRITAL DE LA PERLA
49,"Parque 9 de diciembre, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07323,-77.11322,MUNICIPALIDAD DISTRITAL DE LA PERLA
50,"Pasaje Leon XIII con Pasaje Independencia, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07493,-77.11538,MUNICIPALIDAD DISTRITAL DE LA PERLA
51,"Parque Jose del Carmen Marin, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07529,-77.11014,MUNICIPALIDAD DISTRITAL DE LA PERLA
52,"Auxiliar Av La Marina con Haya de la Torre (La Palta), La Perla",Cámara IP,Fija,DAHUA,-12.07078,-77.10947,MUNICIPALIDAD DISTRITAL DE LA PERLA
53,"Parque el Libro, Calle Aragón, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07425,-77.11137,MUNICIPALIDAD DISTRITAL DE LA PERLA
54,"Parque 4 de Diciembre, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07515,-77.11404,MUNICIPALIDAD DISTRITAL DE LA PERLA
55,"Calle. Granada 165-109, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07423,-77.10936,MUNICIPALIDAD DISTRITAL DE LA PERLA
56,"Vivero Municipal JJ. Pardo, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06554,-77.10784,MUNICIPALIDAD DISTRITAL DE LA PERLA
57,"Parque San Fernando, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07679,-77.11447,MUNICIPALIDAD DISTRITAL DE LA PERLA
58,"Jr. Atahualpa con Jr. Lincolm, La Perla",Cámara IP,Fija,DAHUA,-12.06918,-77.12698,MUNICIPALIDAD DISTRITAL DE LA PERLA
59,"Parque el Pozo, La Perla",Cámara IP,Fija,DAHUA,-12.06576,-77.11987,MUNICIPALIDAD DISTRITAL DE LA PERLA
60,"Otuzco con Amazonas, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07063,-77.11346,MUNICIPALIDAD DISTRITAL DE LA PERLA
61,"Calle Valencia, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07449,-77.10985,MUNICIPALIDAD DISTRITAL DE LA PERLA
62,"Jr. Pachacutec con Jr. Mariano Melgar, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07057,-77.1187,MUNICIPALIDAD DISTRITAL DE LA PERLA
63,"Parque 17 de Julio, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06745,-77.11903,MUNICIPALIDAD DISTRITAL DE LA PERLA
64,"Parque Raygada Av Pacifico con Av Callao, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07122,-77.11659,MUNICIPALIDAD DISTRITAL DE LA PERLA
65,"Pasaje Lago Huron con Pasaje Eyre - Parque Israel, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06822,-77.11804,MUNICIPALIDAD DISTRITAL DE LA PERLA
66,"Jr. Emma Dettman con Jr. Pachacutec, La Perla",Cámara IP,Fija,DAHUA,-12.06982,-77.11829,MUNICIPALIDAD DISTRITAL DE LA PERLA
67,"Parque los Nogales Pasaje Los Nogales, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06687,-77.11914,MUNICIPALIDAD DISTRITAL DE LA PERLA
68,"Parque España Pasaje los Cipreses, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06748,-77.11854,MUNICIPALIDAD DISTRITAL DE LA PERLA
69,"Pasaje Lago Athabasca, Parque Israel",Cámara IP,Domo PTZ,DAHUA,-12.06823,-77.11758,MUNICIPALIDAD DISTRITAL DE LA PERLA
70,Jr. Mariscal Castilla con Jr. Tacna,Cámara IP,Fija,DAHUA,-12.06799,-77.11944,MUNICIPALIDAD DISTRITAL DE LA PERLA
71,"Calle Mama Ocllo con Calle Mariscal Castilla, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06949,-77.1169,MUNICIPALIDAD DISTRITAL DE LA PERLA
72,"Av Callao con Jr. Tumbes, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07165,-77.11665,MUNICIPALIDAD DISTRITAL DE LA PERLA
73,"Av. Callao cuadra 5, La Perla",Cámara IP,Fija,DAHUA,-12.07167,-77.11666,MUNICIPALIDAD DISTRITAL DE LA PERLA
74,"Pasaje Lago Garda, Parque Israel, La Perla",Cámara IP,Fija,DAHUA,-12.06804,-77.11783,MUNICIPALIDAD DISTRITAL DE LA PERLA
75,"Parque Tupac Amaru, Pasaje Sinchi Roca, Jiron Cahuide, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07195,-77.11899,MUNICIPALIDAD DISTRITAL DE LA PERLACAMARAS DE VIDEO VIGILANCIA MUNICIPALIDAD DISTRITAL DE 
2024,"76 Calle Mama ocllo Pje. Mariscal Antonio Jose de Sucre 109, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06883,-77.11654,MUNICIPALIDAD DISTRITAL DE LA PERLA
77,"Av. Costanera, Jr. Tacna, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.0739,-77.12292,MUNICIPALIDAD DISTRITAL DE LA PERLA
78,"Parque Marquez Talledo, Calle Democracia, La Perla",Cámara IP,Fija,DAHUA,-12.07225,-77.11754,MUNICIPALIDAD DISTRITAL DE LA PERLA
79,"Av. Haya de la torre, Av. Pacifico, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07293,-77.11206,MUNICIPALIDAD DISTRITAL DE LA PERLA
80,"Jr. 2 de Mayo 680, La Perla",Cámara IP,Fija,DAHUA,-12.06955,-77.11805,MUNICIPALIDAD DISTRITAL DE LA PERLA
81,"Jr. 2 de Mayo 680, La Perla",Cámara IP,Fija,DAHUA,-12.06955,-77.11805,MUNICIPALIDAD DISTRITAL DE LA PERLA
82,"Jr. 2 de Mayo 680, La Perla",Cámara IP,Fija,DAHUA,-12.06955,-77.11805,MUNICIPALIDAD DISTRITAL DE LA PERLA
83,"Jr. 2 de Mayo 680, La Perla",Cámara IP,Fija,DAHUA,-12.06955,-77.11805,MUNICIPALIDAD DISTRITAL DE LA PERLA
84,"Av. Haya de la Torre, Jr. Jose Pardo (Palacio Municipal), La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06588,-77.10837,MUNICIPALIDAD DISTRITAL DE LA PERLA
85,"Av. Los Insurgentes con Calle Punta Lomitos, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06452,-77.10481,MUNICIPALIDAD DISTRITAL DE LA PERLA
86,"Parque La Estancia, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06816,-77.10986,MUNICIPALIDAD DISTRITAL DE LA PERLA
87,"Av Callao 727 Cuadra 7, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07373,-77.11739,MUNICIPALIDAD DISTRITAL DE LA PERLA
88,"Parque Los Rosales, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06671,-77.11375,MUNICIPALIDAD DISTRITAL DE LA PERLA
89,"Av. Haya de la Torre, Jr. chunga, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06443,-77.10828,MUNICIPALIDAD DISTRITAL DE LA PERLA
90,"Jr. Carlos Elias Chunga con Jose Boterin, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06424,-77.10709,MUNICIPALIDAD DISTRITAL DE LA PERLA
91,"Ca. Manuel Segura,Parque Risco, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06715,-77.11268,MUNICIPALIDAD DISTRITAL DE LA PERLA
92,"Parroquia Corazón De María - Urb Astete Calle Artillero Julio Felipe, La Perla",Cámara IP,Fija,DAHUA,-12.06802,-77.10447,MUNICIPALIDAD DISTRITAL DE LA PERLA
93,"Av. Haya de la Torre cuadra 6, (Cam Fija Galerias), La Perla",Cámara IP,Fija,DAHUA,-12.0647,-77.10829,MUNICIPALIDAD DISTRITAL DE LA PERLA
94,"Av Insurgentes con AV Lizardo Montero, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06878,-77.10431,MUNICIPALIDAD DISTRITAL DE LA PERLA
95,"Calle Manuel Segura, Aux Av La Marina, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06834,-77.11341,MUNICIPALIDAD DISTRITAL DE LA PERLA
96,"Parque CPV, Calle Carlos Baca Flor, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06828,-77.11107,MUNICIPALIDAD DISTRITAL DE LA PERLA
97,"Calle Xavier Abril con Calle Barcelona, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07381,-77.10823,MUNICIPALIDAD DISTRITAL DE LA PERLA
98,"Jr. Grito de Huaura 249 (Cam Fija 1) Dir. Insurgentes, La Perla",Cámara IP,Fija,DAHUA,-12.0669,-77.10559,MUNICIPALIDAD DISTRITAL DE LA PERLA
